venue_1,venue_2,season_0,season_1,season_2,season_3,season_4,average_score_before_match_team2,win_percent_before_team2,lose_percent_before_team2,head2head_win_percent,head2head_draw_percent,head2head_lost_percent,win_percent_diff,ELO_before_match_team2,ELO_before_diff,draw_percent_before_team2,is_opponent_big6,average_score_before_match_team1,average_score_before_match_diff,Cluster,match_type,win_rate_type
1.0,0.0,0.0,1.0,1.0,0.0,1.0,-1.8079432709286098,0.0,1.0,1.0,0.0,0.0,0.5,-0.7651240389646903,0.2395928398965422,0.0,0.0,1.6,1.6,1,Weak Opponent,Low Win Rate
1.0,0.0,0.0,1.0,1.0,0.0,1.0,-0.7281774753846012,0.2,0.6,0.6,0.2,0.2,0.0,-0.8528886240965654,0.462453693341338,0.2,0.0,1.6,0.8,1,Weak Opponent,Low Win Rate
0.0,1.0,0.0,1.0,1.0,0.0,1.0,-0.18829457761259716,0.4,0.6,0.4,0.5,0.1,-2.7755575615628914e-16,-0.4687937950050225,0.3844161459261329,0.0,0.0,2.0,0.8,2,Strong Opponent,High Win Rate
1.0,0.0,0.0,1.0,1.0,0.0,1.0,-0.4582360264985992,0.2,0.4,0.5,0.3,0.2,1.0000000000000002,-0.8843903876614679,0.6353216613616777,0.4,0.0,2.4,1.4,1,Weak Opponent,Low Win Rate
0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.4313541157034155,0.8,0.2,0.4,0.3,0.3,-0.5,1.75345753507074,-0.7613223465099864,0.0,1.0,2.6,0.2000000000000001,0,Average Opponent,Diverse Win Rate
1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.8914712179314114,0.6,0.2,0.3,0.1,0.6,-0.5,1.4406124296787806,-0.6482633028878063,0.2,1.0,2.0,0.0,0,Average Opponent,Diverse Win Rate
0.0,1.0,0.0,1.0,1.0,0.0,1.0,-0.7281774753846012,0.2,0.6,0.7,0.2,0.1,0.0,-0.020221010564282143,0.06642087515212246,0.2,0.0,1.4,0.5999999999999999,2,Strong Opponent,High Win Rate
0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.6215297690454094,0.6,0.4,0.4,0.3,0.3,-0.9999999999999998,0.2727795113934442,-0.04998067038078639,0.0,1.0,1.4,-0.4000000000000001,2,Strong Opponent,High Win Rate
0.0,1.0,0.0,1.0,1.0,0.0,1.0,-1.2680603731566056,0.0,0.6,0.5555555555555556,0.2222222222222222,0.2222222222222222,0.0,-0.2981345296160334,0.23478343977806856,0.4,0.0,1.0,0.6,2,Strong Opponent,High Win Rate
1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.08164687127340489,0.4,0.4,0.4,0.5,0.1,-0.5,-0.3345655046592852,0.2757757235118696,0.2,0.0,1.4,0.0,2,Strong Opponent,High Win Rate
0.0,1.0,0.0,1.0,1.0,0.0,1.0,-0.4582360264985992,0.2,0.4,0.4,0.4,0.2,0.4999999999999997,-1.2618516153747155,0.9111114922959188,0.4,0.0,2.0,1.0,1,Weak Opponent,Low Win Rate
1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.1614126668174136,0.6,0.0,0.4,0.3,0.3,0.0,1.8193885458601144,-0.7758164926772682,0.4,1.0,2.6,0.3999999999999999,0,Average Opponent,Diverse Win Rate
1.0,0.0,0.0,1.0,1.0,0.0,1.0,-0.18829457761259716,0.4,0.6,0.3333333333333333,0.0,0.6666666666666666,-2.7755575615628914e-16,0.4047232247113109,-0.09707746430931452,0.0,0.0,2.0,0.8,2,Strong Opponent,High Win Rate
0.0,1.0,0.0,1.0,1.0,0.0,1.0,-1.8079432709286098,0.0,1.0,1.0,0.0,0.0,1.5000000000000002,-1.5702624976428488,1.1133738892341343,0.0,0.0,2.4,2.4,1,Weak Opponent,Low Win Rate
