result,venue,win_before_team1,win_before_team2,draw_before_team2,lose_before_team1,lose_before_team2,history_team1_lose_team2,is_opponent_big6
D,Home,0.0,0.3333333333333333,0.0,0.5,0.6666666666666666,0.1666666666666666,0
W,Away,0.0,1.0,0.0,0.3333333333333333,0.0,0.4166666666666667,1
W,Home,0.25,0.0,0.4,0.25,0.6,0.0,0
W,Away,0.4,0.2,0.0,0.2,0.8,0.1666666666666666,0
W,Home,0.6,0.0,0.6,0.2,0.4,0.0,0
W,Away,0.8,0.6,0.2,0.0,0.2,0.0,0
D,Home,1.0,0.2,0.6,0.0,0.2,0.25,0
L,Away,0.8,0.2,0.0,0.0,0.8,0.125,0
W,Home,0.6,0.4,0.2,0.2,0.4,0.2307692307692307,1
D,Home,0.6,0.0,0.4,0.2,0.6,0.1666666666666666,0
L,Away,0.4,0.2,0.2,0.2,0.6,0.2,0
L,Away,0.2,0.2,0.2,0.4,0.6,0.0,0
W,Home,0.2,0.4,0.4,0.6,0.2,0.0,1
D,Away,0.4,0.6,0.2,0.4,0.2,0.1666666666666666,1
W,Away,0.2,0.2,0.4,0.4,0.4,0.0,0
D,Home,0.4,0.4,0.4,0.4,0.2,0.0,0
W,Home,0.4,0.4,0.2,0.2,0.4,0.3,0
W,Away,0.6,0.0,0.4,0.0,0.6,0.0,0
L,Away,0.6,0.4,0.2,0.0,0.4,0.0,0
W,Home,0.6,0.2,0.2,0.2,0.6,0.1538461538461538,0
W,Away,0.6,0.8,0.0,0.2,0.2,0.2727272727272727,0
W,Home,0.8,0.8,0.2,0.2,0.0,0.3846153846153846,1
D,Away,0.8,0.6,0.2,0.2,0.2,0.1538461538461538,0
W,Home,0.6,0.2,0.0,0.2,0.8,0.0,0
W,Home,0.8,0.8,0.0,0.0,0.2,0.0,0
W,Away,0.8,0.4,0.2,0.0,0.4,0.0,0
L,Away,0.8,0.4,0.4,0.0,0.2,0.2307692307692307,0
L,Away,0.6,0.2,0.4,0.2,0.4,0.2142857142857142,1
L,Home,0.6,0.4,0.0,0.4,0.6,0.2222222222222222,0
D,Away,0.4,0.2,0.2,0.6,0.6,0.1538461538461538,0
W,Home,0.2,0.4,0.2,0.6,0.4,0.2727272727272727,0
W,Home,0.2,0.6,0.4,0.6,0.0,0.0909090909090909,1
D,Away,0.4,0.6,0.2,0.4,0.2,0.0,1
W,Home,0.4,0.0,0.4,0.2,0.6,0.0909090909090909,0
D,Home,0.6,0.6,0.4,0.0,0.0,0.1538461538461538,1
D,Away,0.6,0.4,0.2,0.0,0.4,0.0,0
W,Home,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,0
D,Away,1.0,1.0,0.0,0.0,0.0,0.25,0
W,Home,0.5,1.0,0.0,0.0,0.0,0.0833333333333333,1
W,Home,0.6666666666666666,0.25,0.5,0.0,0.25,0.0,0
W,Away,0.75,0.2,0.2,0.0,0.6,0.0,1
W,Home,0.8,0.2,0.0,0.0,0.8,0.0,0
W,Away,0.8,0.6,0.2,0.0,0.2,0.3,0
W,Home,1.0,0.2,0.2,0.0,0.6,0.125,0
W,Home,1.0,0.0,0.4,0.0,0.6,0.25,0
D,Away,1.0,0.4,0.6,0.0,0.0,0.2666666666666666,1
D,Home,0.8,1.0,0.0,0.0,0.0,0.3571428571428571,1
W,Away,0.6,0.4,0.0,0.0,0.6,0.0,0
W,Home,0.6,0.0,0.0,0.0,1.0,0.0,0
W,Away,0.6,0.8,0.2,0.0,0.0,0.0,0
