result,venue,season,win_percent_diff,draw_percent_before_team2,draw_percent_diff,lose_percent_before_team1,lose_percent_before_team2,head2head_win_percent,head2head_draw_percent,head2head_lost_percent,is_opponent_big6,ELO_before_match_team2,ELO_before_diff,average_score_before_match_team2,average_score_before_match_diff
W,Home,2012-2013,0.6000000000000001,0.2,-0.2,0.2,0.6,0.75,0.25,0.0,0,1357.2772252421803,514.5441962417392,0.8,1.5999999999999999
D,Away,2012-2013,0.6,0.2,-0.2,0.0,0.4,1.0,0.0,0.0,0,1530.9478316410202,344.5616803878254,1.4,1.6
W,Home,2012-2013,0.4,0.0,0.2,0.0,0.6,0.4,0.4,0.2,0,1425.3722472730285,469.0897218570485,1.2,1.4000000000000001
W,Home,2012-2013,0.4,0.2,0.0,0.0,0.4,0.75,0.25,0.0,0,1686.0050659579194,212.391640886103,1.4,1.2000000000000002
W,Away,2012-2013,0.6000000000000001,0.2,0.0,0.0,0.6,0.8,0.0,0.2,0,1247.459269432661,667.9980553340004,0.8,1.8
W,Home,2012-2013,0.20000000000000007,0.0,0.2,0.0,0.4,0.6,0.2,0.2,1,1563.7541845284984,443.4907343062912,1.8,0.8
D,Away,2012-2013,0.20000000000000007,0.4,-0.2,0.0,0.0,0.6,0.2,0.2,1,1755.873220749534,255.8860333004909,2.2,0.3999999999999999
W,Home,2012-2013,0.6000000000000001,0.8,-0.6000000000000001,0.0,0.0,1.0,0.0,0.0,0,1326.323769813246,701.111119362819,1.4,1.2000000000000002
W,Away,2012-2013,0.4,0.2,0.0,0.0,0.4,0.8,0.2,0.0,0,1396.4953495540722,632.0247039174103,1.4,1.2000000000000002
W,Home,2012-2013,0.4,0.6,-0.39999999999999997,0.0,0.0,0.4,0.4,0.2,0,1722.194565588048,367.2239235915747,1.8,0.8
W,Away,2012-2013,0.8,0.8,-0.6000000000000001,0.0,0.2,1.0,0.0,0.0,0,1070.3125817732534,1027.187314616373,0.8,1.8
