result,venue,season,win_percent_before_team2,win_percent_diff,draw_percent_before_team2,lose_percent_before_team2,head2head_win_percent,head2head_draw_percent,head2head_lost_percent,is_opponent_big6,ELO_before_match_team2,ELO_before_diff,average_score_before_match_team1,average_score_before_match_team2,average_score_before_match_diff
D,Away,2002-2003,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.25,0.75,0.0,1,1536.8333639074556,37.6260976236897,2.333333333333333,1.6666666666666667,0.6666666666666663
W,Home,2002-2003,0.5,0.0,0.0,0.5,1.0,0.0,0.0,1,1513.00269920151,64.15364277764365,2.0,1.5,0.5
W,Away,2002-2003,0.4,0.19999999999999996,0.0,0.6,0.5,0.0,0.5,0,1480.909190601605,121.79156683996666,2.2,1.2,1.0000000000000002
W,Home,2002-2003,0.4,0.19999999999999996,0.0,0.6,0.5,0.5,0.0,0,1459.334922357829,201.85338028934075,2.2,1.2,1.0000000000000002
W,Away,2002-2003,0.4,0.4,0.0,0.6,0.25,0.25,0.5,0,1571.0625691630808,105.02017474482136,2.6,1.2,1.4000000000000001
W,Home,2002-2003,0.2,0.6000000000000001,0.2,0.6,0.25,0.5,0.25,0,1419.5063789491603,313.1622104807768,2.6,0.8,1.8
L,Away,2002-2003,0.4,0.6,0.0,0.6,0.75,0.0,0.25,0,1483.4972423495255,259.78549050183165,3.0,1.2,1.8
L,Home,2002-2003,0.6,0.20000000000000007,0.2,0.2,0.5,0.5,0.0,0,1574.1605566887988,157.67806398099128,2.4,2.0,0.3999999999999999
W,Away,2002-2003,0.2,0.39999999999999997,0.2,0.6,1.0,0.0,0.0,0,1535.4334495336134,151.87250202322343,1.8,0.8,1.0
W,Home,2002-2003,0.8,-0.20000000000000007,0.0,0.2,0.5,0.25,0.25,0,1553.7080711960325,177.69968858875518,1.8,2.4,-0.5999999999999999
W,Home,2002-2003,0.4,0.19999999999999996,0.2,0.4,0.5,0.5,0.0,1,1493.5248599466047,254.41156810635152,1.8,1.4,0.40000000000000013
L,Away,2002-2003,0.4,0.19999999999999996,0.2,0.4,0.5,0.25,0.25,0,1481.627486906808,282.7395505406889,1.8,1.4,0.40000000000000013
W,Home,2002-2003,0.4,0.19999999999999996,0.6,0.0,0.75,0.25,0.0,0,1496.8074673616434,257.2994332206117,1.8,1.8,0.0
L,Away,2002-2003,0.6,0.20000000000000007,0.2,0.2,0.75,0.0,0.25,1,1678.3439082044672,89.65720033283128,2.4,2.0,0.3999999999999999
D,Away,2002-2003,0.4,0.19999999999999996,0.2,0.4,0.6,0.4,0.0,1,1489.9777031828776,249.99120397307092,1.8,1.4,0.40000000000000013
W,Home,2002-2003,0.2,0.2,0.4,0.4,0.75,0.0,0.25,0,1595.3024295635005,160.08196895165088,1.4,1.0,0.3999999999999999
W,Away,2002-2003,0.2,0.2,0.2,0.6,1.0,0.0,0.0,0,1223.900005896814,552.8332295090725,1.4,0.8,0.5999999999999999
D,Home,2002-2003,0.6,0.0,0.2,0.2,0.5,0.25,0.25,1,1599.1084015943195,237.63515745392328,2.0,2.0,0.0
D,Home,2002-2003,0.0,0.4,0.4,0.6,0.5,0.25,0.25,1,1664.226372938126,-129.8108425302562,1.8,0.4,1.4
W,Home,2002-2003,0.4,0.0,0.4,0.2,0.2,0.8,0.0,1,1718.8744225667106,106.38425763460032,1.6,1.6,0.0
W,Away,2002-2003,0.2,0.39999999999999997,0.4,0.4,1.0,0.0,0.0,0,1314.6707547496635,532.5574629906494,2.2,1.0,1.2000000000000002
W,Home,2002-2003,0.0,0.8,0.8,0.2,0.6,0.4,0.0,0,1151.6499155639422,785.1520465700958,2.6,0.8,1.8
D,Away,2002-2003,0.2,0.6000000000000001,0.6,0.2,0.3333333333333333,0.5,0.1666666666666666,1,1637.808111501419,299.80197137722735,2.6,1.2,1.4000000000000001
W,Home,2002-2003,0.2,0.39999999999999997,0.4,0.4,1.0,0.0,0.0,0,1446.6853589690893,508.3684369685611,2.2,1.0,1.2000000000000002
D,Away,2002-2003,0.8,0.0,0.2,0.0,0.6,0.2,0.2,0,1755.259507642133,202.9732663632294,2.6,2.6,0.0
W,Away,2002-2003,0.4,0.19999999999999996,0.2,0.4,1.0,0.0,0.0,1,1477.3045605492496,494.0710705348117,2.2,1.4,0.8000000000000003
W,Home,2002-2003,1.0,-0.4,0.0,0.0,0.6,0.0,0.4,0,1633.5080003776295,426.4625985521591,2.2,3.0,-0.7999999999999998
L,Away,2002-2003,0.6,0.0,0.0,0.4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,1665.653527519117,400.24805566222517,2.2,1.8,0.40000000000000013
W,Home,2002-2003,0.4,0.19999999999999996,0.4,0.2,0.6,0.0,0.4,0,1692.42046829546,366.6717786625227,2.0,1.6,0.3999999999999999
D,Away,2002-2003,0.0,0.6,0.2,0.8,0.8,0.2,0.0,0,1304.06144432188,761.7844310041007,2.0,0.2,1.8
D,Home,2002-2003,1.0,-0.4,0.0,0.0,0.6,0.0,0.4,1,2066.895541643392,23.33497151036181,2.0,3.0,-1.0
W,Away,2002-2003,0.6,-0.19999999999999996,0.4,0.0,0.8,0.0,0.2,0,1656.0681192029049,432.4858279762336,1.6,2.2,-0.6000000000000001
D,Away,2002-2003,0.6,-0.19999999999999996,0.2,0.2,0.6666666666666666,0.3333333333333333,0.0,0,1261.5691597193186,896.2404405571724,1.6,2.0,-0.3999999999999999
