result,is_opponent_big6,draw_before_team1,history_team1_lose_team2,lose_before_team2,win_before_team2,venue_Home,opponent_Chelsea,opponent_Tottenham Hotspur
W,1,0.6,0.05,0.2,0.6,1,0,1
W,0,0.6,0.25,0.6,0.2,1,0,0
D,1,0.4,0.2777777777777778,0.4,0.6,0,0,0
D,0,0.4,0.05,0.2,0.2,0,0,0
W,0,0.4,0.0,0.4,0.2,1,0,0
W,0,0.4,0.2222222222222222,0.4,0.6,1,0,0
W,1,0.4,0.3,0.2,0.8,1,0,0
W,0,0.4,0.0,0.2,0.4,1,0,0
D,0,0.2,0.0,0.2,0.2,0,0,0
W,0,0.2,0.0,0.6,0.4,0,0,0
W,0,0.2,0.0,0.4,0.4,1,0,0
D,1,0.2,0.0476190476190476,0.2,0.6,0,0,1
W,0,0.4,0.0,0.4,0.2,1,0,0
W,0,0.4,0.0,0.8,0.2,0,0,0
W,0,0.2,0.0476190476190476,0.2,0.4,1,0,0
L,0,0.2,0.2,0.8,0.2,0,0,0
W,1,0.2,0.2631578947368421,0.2,0.4,1,0,0
W,0,0.0,0.0,0.4,0.2,0,0,0
L,1,0.0,0.4,0.2,0.6,0,1,0
L,1,0.0,0.3809523809523809,0.2,0.6,0,0,0
W,0,0.0,0.1578947368421052,0.2,0.6,1,0,0
W,0,0.0,0.2352941176470588,0.2,0.4,0,0,0
W,0,0.0,0.1578947368421052,0.2,0.4,1,0,0
D,0,0.0,0.0526315789473684,0.6,0.2,0,0,0
W,0,0.2,0.0952380952380952,0.0,0.6,1,0,0
L,1,0.2,0.2857142857142857,0.2,0.2,0,0,0
W,1,0.2,0.4285714285714285,0.0,1.0,1,1,0
D,0,0.2,0.2105263157894736,0.4,0.2,0,0,0
W,0,0.4,0.0,0.2,0.2,1,0,0
W,0,0.0,0.0,0.0,0.0,0,0,0
W,1,0.0,0.0454545454545454,0.0,0.0,1,0,1
W,1,0.0,0.3181818181818182,0.5,0.0,1,0,0
W,0,0.0,0.15,0.6666666666666666,0.3333333333333333,0,0,0
W,1,0.0,0.4090909090909091,0.0,0.75,1,1,0
D,0,0.0,0.0,0.2,0.4,0,0,0
W,0,0.2,0.5,0.4,0.4,1,0,0
D,1,0.2,0.4090909090909091,0.4,0.6,0,0,0
L,1,0.4,0.25,0.0,0.8,1,0,0
W,0,0.4,0.0909090909090909,0.6,0.4,0,0,0
W,0,0.4,0.0,0.4,0.2,1,0,0
W,0,0.2,0.0,0.2,0.4,0,0,0
D,0,0.2,0.05,0.2,0.6,1,0,0
W,0,0.2,0.0454545454545454,0.4,0.2,0,0,0
W,0,0.2,0.3333333333333333,0.6,0.4,1,0,0
W,0,0.2,0.0,0.6,0.2,0,0,0
W,0,0.2,0.15,0.2,0.4,0,0,0
W,0,0.2,0.0,0.2,0.4,1,0,0
L,0,0.0,0.2,0.6,0.2,1,0,0
L,0,0.0,0.0476190476190476,0.6,0.2,0,0,0
W,0,0.0,0.1428571428571428,0.4,0.4,1,0,0
W,1,0.0,0.3043478260869565,0.4,0.4,0,0,0
W,0,0.0,0.0,0.2,0.2,1,0,0
D,1,0.0,0.391304347826087,0.2,0.4,0,1,0
W,1,0.2,0.391304347826087,0.4,0.2,1,0,0
W,0,0.2,0.3333333333333333,0.2,0.6,0,0,0
W,1,0.2,0.0434782608695652,0.4,0.4,0,0,1
W,0,0.2,0.0,0.2,0.6,1,0,0
W,0,0.2,0.2857142857142857,0.6,0.2,0,0,0
W,0,0.0,0.1428571428571428,0.4,0.6,1,0,0
W,0,0.0,0.238095238095238,0.4,0.4,0,0,0
W,0,0.0,0.0,0.4,0.4,1,0,0
L,0,0.0,0.0,0.2,0.4,0,0,0
W,0,0.0,0.0434782608695652,0.4,0.2,1,0,0
D,0,0.0,0.0869565217391304,0.2,0.6,1,0,0
L,1,0.2,0.2857142857142857,0.2,0.6,0,0,0
W,0,0.2,0.0,0.4,0.2,1,0,0
W,0,0.2,0.0,0.4,0.0,0,0,0
L,0,0.0,0.0833333333333333,0.0,0.0,0,0,0
W,0,0.0,0.1363636363636363,0.0,1.0,1,0,0
W,0,0.0,0.2,1.0,0.0,0,0,0
W,0,0.0,0.0714285714285714,0.3333333333333333,0.3333333333333333,1,0,0
W,1,0.0,0.375,0.5,0.0,0,0,0
L,1,0.0,0.0416666666666666,0.2,0.4,1,0,1
W,0,0.0,0.0909090909090909,0.2,0.2,0,0,0
W,0,0.0,0.0,0.2,0.2,1,0,0
W,1,0.0,0.375,0.0,0.8,0,1,0
W,1,0.0,0.2916666666666667,0.4,0.4,1,0,0
W,0,0.0,0.0416666666666666,0.4,0.2,0,0,0
L,0,0.0,0.25,0.2,0.4,0,0,0
W,0,0.0,0.0,0.6,0.0,1,0,0
W,0,0.0,0.2222222222222222,0.4,0.2,1,0,0
W,0,0.0,0.0,0.4,0.2,0,0,0
W,1,0.0,0.3181818181818182,0.0,0.6,0,0,0
W,0,0.0,0.0,0.6,0.2,1,0,0
D,0,0.0,0.0,0.4,0.4,0,0,0
W,0,0.2,0.0869565217391304,0.6,0.4,1,0,0
W,0,0.2,0.0,0.4,0.4,1,0,0
W,0,0.2,0.0666666666666666,0.6,0.2,0,0,0
W,1,0.2,0.36,0.4,0.6,1,0,0
D,1,0.2,0.08,0.0,0.6,0,0,1
W,0,0.2,0.1818181818181818,0.0,0.2,1,0,0
W,0,0.2,0.1304347826086956,0.4,0.4,0,0,0
W,0,0.2,0.12,0.0,0.4,1,0,0
W,0,0.2,0.0,0.2,0.0,0,0,0
W,0,0.2,0.4,0.2,0.2,1,0,0
W,0,0.0,0.0,0.8,0.2,1,0,0
