date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sot,pkatt,season,team,url
2021-08-21,15:00,Premier League,Matchweek 2,Sat,Away,D,0,0,Crystal Palace,0.9,0.5,47.0,23091.0,Pontus Jansson,3-5-2,Martin Atkinson,Match Report,,3.0,0,2021-2022,Brentford,https://fbref.com/en/squads/cd051869/2021-2022/matchlogs/all_comps/shooting/Brentford-Match-Logs-All-Competitions
2021-08-28,15:00,Premier League,Matchweek 3,Sat,Away,D,1,1,Aston Villa,0.9,0.7,54.0,42045.0,Pontus Jansson,3-4-1-2,Peter Bankes,Match Report,,2.0,0,2021-2022,Brentford,https://fbref.com/en/squads/cd051869/2021-2022/matchlogs/all_comps/shooting/Brentford-Match-Logs-All-Competitions
2021-09-11,15:00,Premier League,Matchweek 4,Sat,Home,L,0,1,Brighton,0.4,0.3,41.0,16518.0,Pontus Jansson,3-5-2,Graham Scott,Match Report,,1.0,0,2021-2022,Brentford,https://fbref.com/en/squads/cd051869/2021-2022/matchlogs/all_comps/shooting/Brentford-Match-Logs-All-Competitions
2021-09-18,12:30,Premier League,Matchweek 5,Sat,Away,W,2,0,Wolves,2.5,0.6,38.0,30000.0,Pontus Jansson,3-5-2,Darren England,Match Report,,2.0,1,2021-2022,Brentford,https://fbref.com/en/squads/cd051869/2021-2022/matchlogs/all_comps/shooting/Brentford-Match-Logs-All-Competitions
2021-09-25,17:30,Premier League,Matchweek 6,Sat,Home,D,3,3,Liverpool,2.1,2.8,33.0,16876.0,Pontus Jansson,3-5-2,Stuart Attwell,Match Report,,3.0,0,2021-2022,Brentford,https://fbref.com/en/squads/cd051869/2021-2022/matchlogs/all_comps/shooting/Brentford-Match-Logs-All-Competitions
2021-10-03,14:00,Premier League,Matchweek 7,Sun,Away,W,2,1,West Ham,1.2,1.5,41.0,49940.0,Pontus Jansson,3-5-2,Peter Bankes,Match Report,,6.0,0,2021-2022,Brentford,https://fbref.com/en/squads/cd051869/2021-2022/matchlogs/all_comps/shooting/Brentford-Match-Logs-All-Competitions
2021-10-16,17:30,Premier League,Matchweek 8,Sat,Home,L,0,1,Chelsea,1.4,0.3,45.0,16940.0,Pontus Jansson,3-5-2,Anthony Taylor,Match Report,,6.0,0,2021-2022,Brentford,https://fbref.com/en/squads/cd051869/2021-2022/matchlogs/all_comps/shooting/Brentford-Match-Logs-All-Competitions
2021-10-24,14:00,Premier League,Matchweek 9,Sun,Home,L,1,2,Leicester City,1.0,1.5,54.0,16814.0,Pontus Jansson,3-5-2,Simon Hooper,Match Report,,5.0,0,2021-2022,Brentford,https://fbref.com/en/squads/cd051869/2021-2022/matchlogs/all_comps/shooting/Brentford-Match-Logs-All-Competitions
2021-10-30,15:00,Premier League,Matchweek 10,Sat,Away,L,1,3,Burnley,0.8,2.3,59.0,18821.0,Pontus Jansson,3-5-2,Jonathan Moss,Match Report,,4.0,0,2021-2022,Brentford,https://fbref.com/en/squads/cd051869/2021-2022/matchlogs/all_comps/shooting/Brentford-Match-Logs-All-Competitions
2021-11-06,15:00,Premier League,Matchweek 11,Sat,Home,L,1,2,Norwich City,2.5,1.2,64.0,16837.0,Pontus Jansson,3-5-2,Jarred Gillett,Match Report,,7.0,0,2021-2022,Brentford,https://fbref.com/en/squads/cd051869/2021-2022/matchlogs/all_comps/shooting/Brentford-Match-Logs-All-Competitions
2021-11-20,15:00,Premier League,Matchweek 12,Sat,Away,D,3,3,Newcastle Utd,0.9,1.5,47.0,52131.0,Pontus Jansson,3-5-2,Robert Jones,Match Report,,3.0,0,2021-2022,Brentford,https://fbref.com/en/squads/cd051869/2021-2022/matchlogs/all_comps/shooting/Brentford-Match-Logs-All-Competitions
2021-11-28,14:00,Premier League,Matchweek 13,Sun,Home,W,1,0,Everton,1.2,1.0,40.0,16957.0,Pontus Jansson,3-5-2,Darren England,Match Report,,3.0,1,2021-2022,Brentford,https://fbref.com/en/squads/cd051869/2021-2022/matchlogs/all_comps/shooting/Brentford-Match-Logs-All-Competitions
2021-12-02,19:30,Premier League,Matchweek 14,Thu,Away,L,0,2,Tottenham,0.3,1.9,53.0,54202.0,Pontus Jansson,3-5-2,Jonathan Moss,Match Report,,2.0,0,2021-2022,Brentford,https://fbref.com/en/squads/cd051869/2021-2022/matchlogs/all_comps/shooting/Brentford-Match-Logs-All-Competitions
2021-12-05,14:00,Premier League,Matchweek 15,Sun,Away,D,2,2,Leeds United,1.0,1.2,37.0,35639.0,Pontus Jansson,3-5-2,David Coote,Match Report,,3.0,0,2021-2022,Brentford,https://fbref.com/en/squads/cd051869/2021-2022/matchlogs/all_comps/shooting/Brentford-Match-Logs-All-Competitions
2021-12-10,20:00,Premier League,Matchweek 16,Fri,Home,W,2,1,Watford,1.6,0.5,63.0,16861.0,Pontus Jansson,3-5-2,Michael Oliver,Match Report,,4.0,1,2021-2022,Brentford,https://fbref.com/en/squads/cd051869/2021-2022/matchlogs/all_comps/shooting/Brentford-Match-Logs-All-Competitions
2021-12-26,20:00,Premier League,Matchweek 19,Sun,Away,L,0,2,Brighton,0.7,0.8,50.0,30141.0,Pontus Jansson,3-5-2,Darren England,Match Report,,5.0,0,2021-2022,Brentford,https://fbref.com/en/squads/cd051869/2021-2022/matchlogs/all_comps/shooting/Brentford-Match-Logs-All-Competitions
2021-12-29,20:15,Premier League,Matchweek 20,Wed,Home,L,0,1,Manchester City,0.4,1.1,24.0,17009.0,Pontus Jansson,3-5-2,David Coote,Match Report,,2.0,0,2021-2022,Brentford,https://fbref.com/en/squads/cd051869/2021-2022/matchlogs/all_comps/shooting/Brentford-Match-Logs-All-Competitions
2022-01-02,14:00,Premier League,Matchweek 21,Sun,Home,W,2,1,Aston Villa,0.6,0.8,45.0,16876.0,Pontus Jansson,3-5-2,Craig Pawson,Match Report,,4.0,0,2021-2022,Brentford,https://fbref.com/en/squads/cd051869/2021-2022/matchlogs/all_comps/shooting/Brentford-Match-Logs-All-Competitions
2022-01-11,19:45,Premier League,Matchweek 18,Tue,Away,L,1,4,Southampton,0.5,1.4,52.0,27383.0,Pontus Jansson,3-5-2,Stuart Attwell,Match Report,,4.0,0,2021-2022,Brentford,https://fbref.com/en/squads/cd051869/2021-2022/matchlogs/all_comps/shooting/Brentford-Match-Logs-All-Competitions
2022-01-16,14:00,Premier League,Matchweek 22,Sun,Away,L,0,3,Liverpool,0.7,2.7,32.0,52824.0,Pontus Jansson,3-5-2,Jonathan Moss,Match Report,,1.0,0,2021-2022,Brentford,https://fbref.com/en/squads/cd051869/2021-2022/matchlogs/all_comps/shooting/Brentford-Match-Logs-All-Competitions
2022-01-19,20:00,Premier League,Matchweek 17,Wed,Home,L,1,3,Manchester Utd,2.3,2.3,44.0,17094.0,Pontus Jansson,3-5-2,Andre Marriner,Match Report,,9.0,0,2021-2022,Brentford,https://fbref.com/en/squads/cd051869/2021-2022/matchlogs/all_comps/shooting/Brentford-Match-Logs-All-Competitions
2022-01-22,15:00,Premier League,Matchweek 23,Sat,Home,L,1,2,Wolves,1.1,0.2,50.0,16982.0,Pontus Jansson,3-5-2,Peter Bankes,Match Report,,1.0,0,2021-2022,Brentford,https://fbref.com/en/squads/cd051869/2021-2022/matchlogs/all_comps/shooting/Brentford-Match-Logs-All-Competitions
2022-02-09,19:45,Premier League,Matchweek 24,Wed,Away,L,0,2,Manchester City,0.4,1.9,26.0,51658.0,Pontus Jansson,3-5-2,Darren England,Match Report,,2.0,0,2021-2022,Brentford,https://fbref.com/en/squads/cd051869/2021-2022/matchlogs/all_comps/shooting/Brentford-Match-Logs-All-Competitions
2022-02-12,15:00,Premier League,Matchweek 25,Sat,Home,D,0,0,Crystal Palace,1.6,0.3,42.0,16958.0,Pontus Jansson,3-5-2,Simon Hooper,Match Report,,2.0,0,2021-2022,Brentford,https://fbref.com/en/squads/cd051869/2021-2022/matchlogs/all_comps/shooting/Brentford-Match-Logs-All-Competitions
2022-02-19,15:00,Premier League,Matchweek 26,Sat,Away,L,1,2,Arsenal,0.6,1.7,34.0,59249.0,Pontus Jansson,3-5-2,Jonathan Moss,Match Report,,2.0,0,2021-2022,Brentford,https://fbref.com/en/squads/cd051869/2021-2022/matchlogs/all_comps/shooting/Brentford-Match-Logs-All-Competitions
2022-02-26,15:00,Premier League,Matchweek 27,Sat,Home,L,0,2,Newcastle Utd,0.4,2.7,37.0,17039.0,Pontus Jansson,4-3-3,Mike Dean,Match Report,,1.0,0,2021-2022,Brentford,https://fbref.com/en/squads/cd051869/2021-2022/matchlogs/all_comps/shooting/Brentford-Match-Logs-All-Competitions
